,Ціна,"Локація (Місто, Район)",Поверх,Поверховість,Загальна площа,Площа кухні,Кількість кімнат,Меблювання,Ремонт,Домашні улюбленці,Автономність при блекауті
676,"4 800 грн.<span class=""css-1vxklie"">Договірна</span>","Харків, Салтівський<!-- --> - <!-- -->06 липня 2024 р.",3,5,38 м²,6 м²,1 кімната,,Євроремонт,,
677,26 000 грн.,"Київ, Святошинський<!-- --> - <!-- -->06 липня 2024 р.",17,26,120 м²,36 м²,3 кімнати,З меблями,Авторський проект,,
678,14 500 грн.,Софіївська Борщагівка<!-- --> - <!-- -->07 липня 2024 р.,2,11,36 м²,16 м²,1 кімната,,Євроремонт,,
679,10 000 грн.,Умань<!-- --> - <!-- -->07 липня 2024 р.,1,5,69 м²,9 м²,3 кімнати,З меблями,,,
680,12 000 грн.,Долина<!-- --> - <!-- -->07 липня 2024 р.,4,4,64 м²,9 м²,3 кімнати,З меблями,Євроремонт,,
681,5 000 грн.,Луцьк<!-- --> - <!-- -->07 липня 2024 р.,2,9,38 м²,16 м²,2 кімнати,З меблями,Косметичний ремонт,,
682,15 000 грн.,Ужгород<!-- --> - <!-- -->07 липня 2024 р.,1,3,50 м²,7 м²,1 кімната,З меблями,Євроремонт,Ні 🥺,
683,11 500 грн.,"Київ, Голосіївський<!-- --> - <!-- -->07 липня 2024 р.",2,25,55 м²,10 м²,1 кімната,З меблями,Євроремонт,,
684,10 000 грн.,Полтава<!-- --> - <!-- -->07 липня 2024 р.,3,5,33 м²,7 м²,1 кімната,З меблями,Євроремонт,Ні 🥺,
685,10 000 грн.,"Дніпро, Шевченківський<!-- --> - <!-- -->07 липня 2024 р.",4,6,46 м²,14.20 м²,1 кімната,З меблями,Євроремонт,,
686,12 000 грн.,"Дніпро, Індустріальний<!-- --> - <!-- -->07 липня 2024 р.",6,9,65.70 м²,18.20 м²,2 кімнати,З меблями,Євроремонт,,Працює інтернет
687,"13 000 грн.<span class=""css-1vxklie"">Договірна</span>","Київ, Дарницький<!-- --> - <!-- -->07 липня 2024 р.",,,,,,,,,
688,158 257 грн.,"Київ, Печерський<!-- --> - <!-- -->06 липня 2024 р.",17,25,138 м²,30 м²,2 кімнати,З меблями,Авторський проект,,
689,"56 810 грн.<span class=""css-1vxklie"">Договірна</span>","Київ, Солом'янський<!-- --> - <!-- -->07 липня 2024 р.",3,17,248 м²,35 м²,5+ кімнат,З меблями,,,
690,9 000 грн.,"Київ, Деснянський<!-- --> - <!-- -->02 липня 2024 р.",12,16,43 м²,10 м²,1 кімната,,Житловий стан,Ні 🥺,
691,11 999 грн.,"Одеса, Приморський<!-- --> - <!-- -->07 липня 2024 р.",20,24,85 м²,20 м²,2 кімнати,З меблями,Євроремонт,,"Працює інтернет, Працює ліфт, Працює водопопостачання, Працює опалення, Підключене резервне живлення"
692,6 500 грн.,"Одеса, Хаджибейський<!-- --> - <!-- -->07 липня 2024 р.",7,16,30 м²,5 м²,1 кімната,З меблями,,Ні 🥺,
693,2 500 грн.,Нікополь<!-- --> - <!-- -->07 липня 2024 р.,5,5,35 м²,15 м²,2 кімнати,З меблями,,,
694,14 000 грн.,Луцьк<!-- --> - <!-- -->07 липня 2024 р.,2,10,50 м²,10 м²,2 кімнати,З меблями,Авторський проект,Ні 🥺,
695,8 000 грн.,"Одеса, Київський<!-- --> - <!-- -->07 липня 2024 р.",13,24,45 м²,16 м²,1 кімната,З меблями,,,
696,7 500 грн.,"Одеса, Київський<!-- --> - <!-- -->07 липня 2024 р.",6,24,36 м²,6 м²,1 кімната,З меблями,Євроремонт,Ні 🥺,
697,6 900 грн.,Костянтинівка<!-- --> - <!-- -->07 липня 2024 р.,12,14,47 м²,6 м²,2 кімнати,З меблями,,,
698,2 500 грн.,"Харків, Київський<!-- --> - <!-- -->07 липня 2024 р.",1,6,20 м²,5 м²,1 кімната,,Євроремонт,,
699,6 500 грн.,"Одеса, Пересипський<!-- --> - <!-- -->07 липня 2024 р.",3,9,40 м²,7 м²,2 кімнати,З меблями,Житловий стан,,
700,2 500 грн.,"Одеса, Приморський<!-- --> - <!-- -->07 липня 2024 р.",1,1,12 м²,4 м²,1 кімната,,,,
701,11 000 грн.,"Харків, Основ'янський<!-- --> - <!-- -->06 липня 2024 р.",5,9,46 м²,14 м²,1 кімната,З меблями,Авторський проект,,
702,25 159 грн.,"Львів, Личаківський<!-- --> - <!-- -->07 липня 2024 р.",6,10,80 м²,20 м²,2 кімнати,З меблями,Авторський проект,Ні 🥺,
703,9 600 грн.,"Одеса, Київський<!-- --> - <!-- -->04 липня 2024 р.",8,9,60 м²,8 м²,3 кімнати,З меблями,Євроремонт,"Так, котик 😸","Працює водопопостачання, Працює інтернет"
704,14 000 грн.,"Київ, Дарницький<!-- --> - <!-- -->07 липня 2024 р.",16,28,26 м²,2 м²,1 кімната,З меблями,Євроремонт,"Так, маленький песик(до 10 кг) 🐕, Так, котик 😸, Так, великий песик 🐶, Так, інша тваринка 🦕",
705,11 999 грн.,"Одеса, Приморський<!-- --> - <!-- -->07 липня 2024 р.",18,25,55 м²,20 м²,1 кімната,З меблями,Євроремонт,Ні 🥺,"Працює водопопостачання, Працює ліфт, Підключене резервне живлення, Працює інтернет, Працює опалення"
706,6 000 грн.,"Запоріжжя, Дніпровський<!-- --> - <!-- -->07 липня 2024 р.",6,9,30 м²,6 м²,1 кімната,З меблями,Євроремонт,Ні 🥺,"Працює водопопостачання, Працює інтернет, Працює ліфт"
707,13 500 грн.,"Київ, Дарницький<!-- --> - <!-- -->07 липня 2024 р.",2,25,93 м²,12 м²,3 кімнати,,Житловий стан,"Так, котик 😸, Так, середній песик(до 25 кг) 🐩, Так, інша тваринка 🦕, Так, великий песик 🐶, Так, маленький песик(до 10 кг) 🐕",
708,10 000 грн.,"Київ, Дарницький<!-- --> - <!-- -->07 липня 2024 р.",2,4,55 м²,9 м²,2 кімнати,З меблями,,Ні 🥺,
709,4 000 грн.,Кременчук<!-- --> - <!-- -->07 липня 2024 р.,2,5,32 м²,5 м²,1 кімната,З меблями,Житловий стан,,
710,5 500 грн.,Горішні Плавні<!-- --> - <!-- -->07 липня 2024 р.,4,9,55 м²,8 м²,2 кімнати,З меблями,,,
711,"15 000 грн.<span class=""css-1vxklie"">Договірна</span>",Ужгород<!-- --> - <!-- -->07 липня 2024 р.,1,2,70 м²,8 м²,2 кімнати,З меблями,Євроремонт,Ні 🥺,
712,13 000 грн.,"Запоріжжя, Дніпровський<!-- --> - <!-- -->07 липня 2024 р.",6,10,42 м²,17 м²,1 кімната,З меблями,Авторський проект,,
713,15 000 грн.,Полтава<!-- --> - <!-- -->07 липня 2024 р.,4,9,70 м²,8 м²,3 кімнати,З меблями,Євроремонт,,
714,12 000 грн.,"Миколаїв, Корабельний<!-- --> - <!-- -->06 липня 2024 р.",13,17,78.40 м²,11.30 м²,2 кімнати,З меблями,Авторський проект,,"Працює водопопостачання, Працює опалення"
715,"405 787 грн.<span class=""css-1vxklie"">Договірна</span>","Київ, Печерський<!-- --> - <!-- -->07 липня 2024 р.",2,4,253 м²,50 м²,4 кімнати,З меблями,Авторський проект,"Так, маленький песик(до 10 кг) 🐕",
716,20 000 грн.,Біла Церква<!-- --> - <!-- -->06 липня 2024 р.,3,9,86 м²,9 м²,3 кімнати,,,,
717,13 500 грн.,"Дніпро, Шевченківський<!-- --> - <!-- -->07 липня 2024 р.",7,9,65 м²,10 м²,3 кімнати,З меблями,Житловий стан,"Так, маленький песик(до 10 кг) 🐕, Так, котик 😸",
718,24 347 грн.,Ужгород<!-- --> - <!-- -->07 липня 2024 р.,2,2,64 м²,14 м²,2 кімнати,,Євроремонт,,"Працює інтернет, Працює водопопостачання"
719,17 500 грн.,"Дніпро, Центральний<!-- --> - <!-- -->07 липня 2024 р.",9,24,40 м²,10 м²,1 кімната,З меблями,Євроремонт,"Так, середній песик(до 25 кг) 🐩, Так, маленький песик(до 10 кг) 🐕, Так, котик 😸, Так, великий песик 🐶, Так, інша тваринка 🦕",
720,20 289 грн.,"Київ, Голосіївський<!-- --> - <!-- -->07 липня 2024 р.",12,25,40 м²,12 м²,1 кімната,З меблями,,"Так, інша тваринка 🦕, Так, маленький песик(до 10 кг) 🐕",
721,16 231 грн.,Івано-Франківськ<!-- --> - <!-- -->07 липня 2024 р.,5,11,48 м²,15 м²,1 кімната,З меблями,Євроремонт,"Так, середній песик(до 25 кг) 🐩, Так, маленький песик(до 10 кг) 🐕",Працює інтернет
722,16 231 грн.,Івано-Франківськ<!-- --> - <!-- -->07 липня 2024 р.,3,4,52 м²,20 м²,2 кімнати,З меблями,Авторський проект,"Так, інша тваринка 🦕, Так, маленький песик(до 10 кг) 🐕, Так, котик 😸",Працює інтернет
723,12 174 грн.,Виноградів<!-- --> - <!-- -->07 липня 2024 р.,4,5,65 м²,10 м²,2 кімнати,З меблями,,,
724,42 608 грн.,"Київ, Шевченківський<!-- --> - <!-- -->07 липня 2024 р.",22,24,50 м²,17 м²,1 кімната,З меблями,Авторський проект,,
725,7 500 грн.,"Харків, Індустріальний<!-- --> - <!-- -->07 липня 2024 р.",2,9,41 м²,10 м²,1 кімната,З меблями,Євроремонт,"Так, маленький песик(до 10 кг) 🐕, Так, котик 😸",
726,34 492 грн.,"Дніпро, Центральний<!-- --> - <!-- -->07 липня 2024 р.",6,11,80 м²,20 м²,3 кімнати,З меблями,Авторський проект,Ні 🥺,
727,24 000 грн.,"Київ, Дарницький - 07 липня 2024 р.",18,25,45 м²,21 м²,1 кімната,З меблями,Євроремонт,Ні 🥺,
728,18 260 грн.,"Львів, Залізничний - 06 липня 2024 р.",11,12,39 м²,16 м²,1 кімната,,,,
729,8 000 грн.,"Житомир, Центр - 24 червня 2024 р.",2,5,42 м²,6 м²,2 кімнати,З меблями,Житловий стан,Ні 🥺,
730,56 810 грн.,"Київ, Печерський - 07 липня 2024 р.",5,21,53 м²,20 м²,2 кімнати,З меблями,Авторський проект,"Так, інша тваринка 🦕, Так, маленький песик(до 10 кг) 🐕","Працює опалення, Працює водопопостачання, Працює ліфт"
731,8 000 грн.,"Харків, Слобідський - 07 липня 2024 р.",3,9,65 м²,8 м²,3 кімнати,З меблями,Євроремонт,,
732,6 500 грн.,"Дніпро, Центральний - 07 липня 2024 р.",9,9,32 м²,7 м²,1 кімната,З меблями,Житловий стан,,
733,4 000 грн.,Павлоград - 07 липня 2024 р.,2,4,26.60 м²,5 м²,1 кімната,,,,
734,"13 000 грн.<span class=""css-1vxklie"">Договірна</span>","Київ, Дарницький - 07 липня 2024 р.",9,27,60 м²,12 м²,2 кімнати,З меблями,Євроремонт,,
735,9 500 грн.,"Київ, Дніпровський - 07 липня 2024 р.",11,18,30 м²,10 м²,1 кімната,З меблями,Євроремонт,,
736,11 999 грн.,"Одеса, Приморський - 07 липня 2024 р.",20,24,85 м²,20 м²,2 кімнати,З меблями,Євроремонт,,"Працює інтернет, Працює ліфт, Працює водопопостачання, Працює опалення, Підключене резервне живлення"
737,15 000 грн.,"Одеса, Приморський - 07 липня 2024 р.",6,24,40 м²,15 м²,1 кімната,З меблями,Євроремонт,Ні 🥺,
738,17 000 грн.,Софіївська Борщагівка - 07 липня 2024 р.,1,5,69 м²,12 м²,2 кімнати,З меблями,Євроремонт,,
739,2 500 грн.,Нікополь - 07 липня 2024 р.,5,5,35 м²,15 м²,2 кімнати,З меблями,,,
740,12 000 грн.,"Одеса, Київський - 07 липня 2024 р.",8,10,45.10 м²,16 м²,1 кімната,З меблями,Євроремонт,Ні 🥺,
741,4 000 грн.,"Харків, Слобідський - 01 липня 2024 р.",3,5,33 м²,4 м²,1 кімната,,,,
742,4 500 грн.,"Харків, Холодногірський - 06 липня 2024 р.",8,9,35 м²,8 м²,1 кімната,З меблями,,,"Працює інтернет, Працює ліфт"
743,6 500 грн.,"Одеса, Київський - 07 липня 2024 р.",17,17,43 м²,15 м²,1 кімната,З меблями,Євроремонт,Ні 🥺,Працює ліфт
744,9 000 грн.,"Київ, Солом'янський - 07 липня 2024 р.",9,10,50 м²,8 м²,2 кімнати,З меблями,Житловий стан,,
745,15 000 грн.,Луцьк - 07 липня 2024 р.,5,10,67 м²,10 м²,2 кімнати,З меблями,Авторський проект,Ні 🥺,"Працює інтернет, Працює ліфт, Працює водопопостачання, Працює опалення"
746,8 000 грн.,"Миколаїв, Центральний - 07 липня 2024 р.",1,5,65 м²,7 м²,3 кімнати,,Косметичний ремонт,,"Працює інтернет, Працює водопопостачання, Працює опалення"
747,"10 000 грн.<span class=""css-1vxklie"">Договірна</span>",Бровари - 07 липня 2024 р.,15,25,42 м²,18 м²,1 кімната,З меблями,Косметичний ремонт,Ні 🥺,
748,10 000 грн.,"Київ, Святошинський - 07 липня 2024 р.",5,9,34 м²,8 м²,1 кімната,З меблями,,,
749,14 000 грн.,"Київ, Дарницький - 07 липня 2024 р.",16,28,26 м²,2 м²,1 кімната,З меблями,Євроремонт,"Так, маленький песик(до 10 кг) 🐕, Так, котик 😸, Так, великий песик 🐶, Так, інша тваринка 🦕",
750,22 318 грн.,"Львів, Личаківський - 07 липня 2024 р.",4,10,41 м²,21 м²,1 кімната,З меблями,Авторський проект,Ні 🥺,"Працює ліфт, Працює інтернет, Працює опалення, Працює водопопостачання"
751,6 000 грн.,"Запоріжжя, Дніпровський - 07 липня 2024 р.",6,9,30 м²,6 м²,1 кімната,З меблями,Євроремонт,Ні 🥺,"Працює водопопостачання, Працює інтернет, Працює ліфт"
752,9 500 грн.,"Київ, Святошинський - 07 липня 2024 р.",5,5,30 м²,7 м²,1 кімната,З меблями,,,
753,"8 900 грн.<span class=""css-1vxklie"">Договірна</span>","Харків, Шевченківський  - 05 липня 2024 р.",5,9,70 м²,11 м²,3 кімнати,З меблями,Євроремонт,,
754,"12 500 грн.<span class=""css-1vxklie"">Договірна</span>","Запоріжжя, Вознесенівський - 07 липня 2024 р.",14,14,58 м²,20 м²,2 кімнати,З меблями,Авторський проект,,
755,28 405 грн.,"Львів, Сихівський - 07 липня 2024 р.",6,10,53 м²,12 м²,1 кімната,З меблями,Авторський проект,"Так, маленький песик(до 10 кг) 🐕",
756,7 500 грн.,"Одеса, Пересипський - 07 липня 2024 р.",13,20,46 м²,12 м²,1 кімната,З меблями,Євроремонт,Ні 🥺,"Працює водопопостачання, Працює інтернет, Працює опалення"
757,4 700 грн.,"Кривий Ріг, Металургійний - 07 липня 2024 р.",7,9,48.60 м²,6.20 м²,2 кімнати,Без меблів,Косметичний ремонт,Ні 🥺,"Працює ліфт, Працює водопопостачання, Працює опалення"
758,8 116 грн.,Чернівці - 07 липня 2024 р.,5,5,32 м²,7 м²,1 кімната,З меблями,Косметичний ремонт,Ні 🥺,
759,"15 000 грн.<span class=""css-1vxklie"">Договірна</span>",Ужгород - 07 липня 2024 р.,1,2,70 м²,8 м²,2 кімнати,З меблями,Євроремонт,Ні 🥺,
760,18 260 грн.,Чернівці - 07 липня 2024 р.,8,10,68 м²,14 м²,2 кімнати,З меблями,Авторський проект,Ні 🥺,
761,13 000 грн.,"Одеса, Київський - 07 липня 2024 р.",15,21,80 м²,16 м²,2 кімнати,З меблями,Євроремонт,,
762,9 000 грн.,"Львів, Галицький - 07 липня 2024 р.",1,3,30 м²,10 м²,1 кімната,З меблями,Житловий стан,Ні 🥺,
763,8 771 грн.,Чернівці - 07 липня 2024 р.,4,9,54 м²,8 м²,2 кімнати,,,,
764,"11 000 грн.<span class=""css-1vxklie"">Договірна</span>","Одеса, Приморський - 07 липня 2024 р.",22,24,45 м²,8 м²,1 кімната,З меблями,,,"Працює ліфт, Працює водопопостачання, Працює опалення, Підключене резервне живлення, Працює інтернет"
765,7 000 грн.,"Дніпро, Індустріальний - 07 липня 2024 р.",5,5,60 м²,6 м²,3 кімнати,З меблями,Житловий стан,,
766,2 500 грн.,"Харків, Київський - 06 липня 2024 р.",3,5,20 м²,3 м²,1 кімната,З меблями,Житловий стан,"Так, середній песик(до 25 кг) 🐩, Так, маленький песик(до 10 кг) 🐕, Так, котик 😸",
767,11 000 грн.,Бровари - 06 липня 2024 р.,11,25,45 м²,20 м²,1 кімната,З меблями,Євроремонт,Ні 🥺,"Працює опалення, Працює ліфт, Працює інтернет"
768,18 260 грн.,Ужгород - 07 липня 2024 р.,2,3,42 м²,20 м²,1 кімната,З меблями,Авторський проект,,
769,"13 000 грн.<span class=""css-1vxklie"">Договірна</span>","Харків, Київський - 07 липня 2024 р.",3,10,65 м²,25 м²,2 кімнати,З меблями,Авторський проект,Ні 🥺,
770,3 500 грн.,"Харків, Шевченківський  - 07 липня 2024 р.",3,5,56.50 м²,25.50 м²,3 кімнати,З меблями,Євроремонт,,
771,8 000 грн.,Бровари - 07 липня 2024 р.,1,2,25 м²,5 м²,1 кімната,,Житловий стан,"Так, котик 😸, Так, маленький песик(до 10 кг) 🐕, Так, середній песик(до 25 кг) 🐩, Так, інша тваринка 🦕","Працює інтернет, Працює опалення"
772,6 000 грн.,"Харків, Слобідський - 07 липня 2024 р.",2,5,50 м²,6 м²,2 кімнати,З меблями,Євроремонт,,
773,4 500 грн.,"Миколаїв, Iнгульський - 07 липня 2024 р.",1,2,30 м²,10 м²,1 кімната,З меблями,Житловий стан,Ні 🥺,
774,17 500 грн.,"Дніпро, Центральний - 07 липня 2024 р.",9,24,40 м²,10 м²,1 кімната,З меблями,Євроремонт,"Так, середній песик(до 25 кг) 🐩, Так, маленький песик(до 10 кг) 🐕, Так, котик 😸, Так, великий песик 🐶, Так, інша тваринка 🦕",
775,20 289 грн.,"Київ, Голосіївський - 07 липня 2024 р.",12,25,40 м²,12 м²,1 кімната,З меблями,,"Так, інша тваринка 🦕, Так, маленький песик(до 10 кг) 🐕",
776,"38 000 грн.<span class=""css-1vxklie"">Договірна</span>","Дніпро, Шевченківський - 07 липня 2024 р.",5,10,140 м²,17 м²,3 кімнати,З меблями,Євроремонт,,
777,56 810 грн.,"Київ, Печерський - 07 липня 2024 р.",4,21,53 м²,17 м²,2 кімнати,З меблями,Авторський проект,"Так, маленький песик(до 10 кг) 🐕, Так, інша тваринка 🦕",Працює ліфт
778,22 318 грн.,"Львів, Сихівський - 07 липня 2024 р.",1,3,42 м²,10 м²,1 кімната,З меблями,Житловий стан,,
779,25 000 грн.,"Львів, Шевченківський - 06 липня 2024 р.",4,4,80 м²,14 м²,3 кімнати,,Євроремонт,,"Працює опалення, Працює інтернет, Працює водопопостачання"
780,9 000 грн.,"Львів, Галицький - 25 червня 2024 р.",5,5,15 м²,4 м²,1 кімната,,Житловий стан,"Так, котик 😸, Так, маленький песик(до 10 кг) 🐕",
781,12 174 грн.,Івано-Франківськ - 06 липня 2024 р.,2,10,44 м²,15 м²,1 кімната,З меблями,Євроремонт,,"Працює інтернет, Працює водопопостачання"
782,60 868 грн.,"Київ, Печерський - 07 липня 2024 р.",12,21,55 м²,20 м²,2 кімнати,З меблями,Авторський проект,"Так, маленький песик(до 10 кг) 🐕, Так, інша тваринка 🦕",Працює ліфт
783,12 000 грн.,Слов'янськ - 07 липня 2024 р.,5,5,68 м²,7 м²,3 кімнати,З меблями,Євроремонт,,
784,16 191 грн.,"Одеса, Приморський - 07 липня 2024 р.",20,25,48 м²,20 м²,1 кімната,З меблями,Євроремонт,Ні 🥺,"Працює опалення, Працює ліфт, Працює водопопостачання, Працює інтернет, Підключене резервне живлення"
785,11 000 грн.,Івано-Франківськ - 07 липня 2024 р.,6,9,43 м²,15 м²,1 кімната,З меблями,Авторський проект,"Так, маленький песик(до 10 кг) 🐕",
786,8 500 грн.,"Київ, Голосіївський - 07 липня 2024 р.",2,5,29 м²,5 м²,1 кімната,З меблями,Косметичний ремонт,Ні 🥺,"Працює опалення, Працює водопопостачання"
787,7 000 грн.,"Київ, Святошинський - 07 липня 2024 р.",2,9,22.38 м²,8 м²,1 кімната,З меблями,Косметичний ремонт,,
788,10 500 грн.,"Київ, Святошинський - 07 липня 2024 р.",3,9,35.30 м²,7.50 м²,1 кімната,З меблями,Косметичний ремонт,,
789,6 000 грн.,Вишневе - 07 липня 2024 р.,4,5,26 м²,5 м²,1 кімната,З меблями,Косметичний ремонт,Ні 🥺,
790,4 000 грн.,Олександрія - 07 липня 2024 р.,6,9,37 м²,7 м²,1 кімната,З меблями,Житловий стан,,
791,14 000 грн.,"Київ, Солом'янський - 07 липня 2024 р.",2,5,47 м²,8 м²,2 кімнати,З меблями,Косметичний ремонт,"Так, маленький песик(до 10 кг) 🐕, Так, котик 😸",
792,"6 000 грн.<span class=""css-1vxklie"">Договірна</span>","Харків, Індустріальний - 07 липня 2024 р.",7,9,47 м²,6 м²,2 кімнати,З меблями,,,
793,5 500 грн.,"Одеса, Пересипський - 07 липня 2024 р.",3,16,60 м²,8 м²,2 кімнати,,,,
794,12 000 грн.,"Одеса, Приморський - 06 липня 2024 р.",3,4,40 м²,25 м²,1 кімната,З меблями,Авторський проект,,"Працює інтернет, Працює водопопостачання"
795,7 304 грн.,Тернопіль - 07 липня 2024 р.,1,10,23 м²,6 м²,1 кімната,З меблями,Євроремонт,,
796,25 000 грн.,"Київ, Дніпровський - 07 липня 2024 р.",8,10,77 м²,10 м²,3 кімнати,З меблями,Євроремонт,,
797,15 000 грн.,"Одеса, Приморський - 07 липня 2024 р.",9,17,60 м²,15 м²,2 кімнати,З меблями,,,
798,18 000 грн.,"Дніпро, Центральний - 07 липня 2024 р.",2,5,55 м²,10 м²,2 кімнати,,,,
799,4 700 грн.,"Кривий Ріг, Металургійний - 07 липня 2024 р.",7,9,48.60 м²,6.20 м²,2 кімнати,Без меблів,Косметичний ремонт,Ні 🥺,"Працює ліфт, Працює водопопостачання, Працює опалення"
800,43 000 грн.,Чайки - 07 липня 2024 р.,5,12,100 м²,25 м²,4 кімнати,З меблями,,,
801,7 500 грн.,"Одеса, Приморський - 07 липня 2024 р.",10,12,55 м²,12 м²,1 кімната,З меблями,Євроремонт,Ні 🥺,
802,"6 000 грн.<span class=""css-1vxklie"">Договірна</span>","Одеса, Хаджибейський - 07 липня 2024 р.",14,16,52 м²,10 м²,2 кімнати,,Євроремонт,Ні 🥺,
803,8 000 грн.,Черкаси - 07 липня 2024 р.,1,3,73 м²,7 м²,3 кімнати,З меблями,Косметичний ремонт,"Так, котик 😸",
804,8 000 грн.,Новомосковськ - 07 липня 2024 р.,4,5,18.50 м²,6 м²,1 кімната,З меблями,,,
805,22 318 грн.,"Київ, Шевченківський - 06 липня 2024 р.",15,24,47 м²,1 м²,1 кімната,З меблями,Авторський проект,Ні 🥺,
806,14 000 грн.,Суми - 07 липня 2024 р.,3,6,150 м²,15 м²,3 кімнати,З меблями,,,
807,16 000 грн.,Тернопіль - 02 липня 2024 р.,10,14,52 м²,9 м²,2 кімнати,З меблями,Житловий стан,,
808,7 000 грн.,Краматорськ - 07 липня 2024 р.,1,5,65 м²,7 м²,3 кімнати,З меблями,Житловий стан,,
809,8 000 грн.,"Дніпро, Соборний - 07 липня 2024 р.",,,,,,,,,
810,"6 000 грн.<span class=""css-1vxklie"">Договірна</span>",Чернігів - 07 липня 2024 р.,,,,,,,,,
811,32 463 грн.,"Одеса, Приморський - 07 липня 2024 р.",3,16,98 м²,22 м²,3 кімнати,З меблями,Євроремонт,Ні 🥺,"Працює опалення, Працює ліфт, Підключене резервне живлення, Працює водопопостачання, Працює інтернет"
812,4 000 грн.,"Харків, Київський - 07 липня 2024 р.",4,11,40 м²,7.50 м²,1 кімната,З меблями,,Ні 🥺,
813,4 500 грн.,"Одеса, Приморський - 07 липня 2024 р.",6,9,30 м²,6 м²,1 кімната,З меблями,,Ні 🥺,"Працює водопопостачання, Працює опалення"
814,20 289 грн.,"Львів, Залізничний - 07 липня 2024 р.",5,12,54 м²,27 м²,1 кімната,З меблями,Авторський проект,,
815,8 000 грн.,"Миколаїв, Iнгульський - 07 липня 2024 р.",9,9,60 м²,10 м²,3 кімнати,З меблями,Косметичний ремонт,"Так, маленький песик(до 10 кг) 🐕",
816,10 000 грн.,Дружківка - 07 липня 2024 р.,1,5,61 м²,7 м²,3 кімнати,З меблями,Авторський проект,"Так, котик 😸","Працює водопопостачання, Працює опалення"
817,10 000 грн.,"Миколаїв, Центральний - 07 липня 2024 р.",1,9,66 м²,8 м²,3 кімнати,З меблями,Євроремонт,Ні 🥺,
818,8 000 грн.,Костянтинівка - 07 липня 2024 р.,1,5,30 м²,6 м²,1 кімната,З меблями,Косметичний ремонт,,
819,8 500 грн.,"Дніпро, Центральний - 06 липня 2024 р.",5,5,45 м²,7 м²,2 кімнати,З меблями,,,
820,"26 000 грн.<span class=""css-1vxklie"">Договірна</span>","Київ, Дніпровський - 06 липня 2024 р.",2,5,86 м²,15 м²,3 кімнати,З меблями,Євроремонт,,Працює інтернет
821,10 145 грн.,Тернопіль - 07 липня 2024 р.,2,6,40 м²,10 м²,1 кімната,,Євроремонт,,
822,16 231 грн.,"Львів, Шевченківський - 07 липня 2024 р.",1,10,65 м²,14 м²,2 кімнати,З меблями,Євроремонт,Ні 🥺,
823,32 463 грн.,"Львів, Шевченківський - 07 липня 2024 р.",4,5,90 м²,35 м²,2 кімнати,З меблями,Євроремонт,,
824,"10 500 грн.<span class=""css-1vxklie"">Договірна</span>",Рівне - 07 липня 2024 р.,3,5,32.60 м²,6.10 м²,1 кімната,З меблями,Косметичний ремонт,Ні 🥺,"Працює водопопостачання, Працює інтернет, Працює опалення"
825,3 800 грн.,"Одеса, Пересипський - 07 липня 2024 р.",9,9,36 м²,9 м²,1 кімната,З меблями,Житловий стан,"Так, котик 😸, Так, маленький песик(до 10 кг) 🐕, Так, середній песик(до 25 кг) 🐩, Так, великий песик 🐶, Так, інша тваринка 🦕","Працює інтернет, Працює водопопостачання, Працює опалення"
826,52 752 грн.,"Київ, Солом'янський - 07 липня 2024 р.",16,25,180 м²,18 м²,4 кімнати,З меблями,Авторський проект,,"Працює інтернет, Працює ліфт, Працює водопопостачання, Працює опалення, Підключене резервне живлення"
827,10 500 грн.,Черкаси - 07 липня 2024 р.,3,10,54 м²,7.70 м²,2 кімнати,З меблями,Житловий стан,"Так, великий песик 🐶, Так, котик 😸, Так, середній песик(до 25 кг) 🐩, Так, інша тваринка 🦕, Так, маленький песик(до 10 кг) 🐕",
828,4 000 грн.,"Харків, Шевченківський  - 07 липня 2024 р.",5,9,33 м²,7 м²,1 кімната,З меблями,Косметичний ремонт,,
829,202 894 грн.,"Київ, Печерський - 07 липня 2024 р.",10,11,240 м²,20 м²,5+ кімнат,З меблями,Авторський проект,,
830,"16 231 грн.<span class=""css-1vxklie"">Договірна</span>","Львів, Франківський - 07 липня 2024 р.",,,,,,,,,
831,6 000 грн.,Краматорськ<!-- --> - <!-- -->06 липня 2024 р.,9,9,55 м²,9 м²,2 кімнати,З меблями,,,
832,16 000 грн.,Ужгород<!-- --> - <!-- -->07 липня 2024 р.,1,5,55 м²,7 м²,2 кімнати,З меблями,Євроремонт,Ні 🥺,"Працює інтернет, Працює опалення"
833,10 964 грн.,Чернівці<!-- --> - <!-- -->01 липня 2024 р.,5,5,60 м²,9 м²,2 кімнати,З меблями,Косметичний ремонт,Ні 🥺,
834,5 000 грн.,Костянтинівка<!-- --> - <!-- -->07 липня 2024 р.,3,3,38 м²,6 м²,1 кімната,З меблями,Косметичний ремонт,,
835,12 000 грн.,Рівне<!-- --> - <!-- -->07 липня 2024 р.,8,9,64 м²,9 м²,3 кімнати,З меблями,Євроремонт,Ні 🥺,
836,"20 289 грн.<span class=""css-1vxklie"">Договірна</span>",Чернівці<!-- --> - <!-- -->07 липня 2024 р.,1,4,71 м²,9 м²,3 кімнати,З меблями,Євроремонт,Ні 🥺,
837,17 542 грн.,Чернівці<!-- --> - <!-- -->07 липня 2024 р.,5,6,68 м²,10 м²,2 кімнати,З меблями,Євроремонт,,
